epoch,lr,tr_loss,va_loss,tr_dice,tr_iou,tr_recall,tr_precision,tr_accuracy,tr_mcc,va_dice,va_iou,va_recall,va_precision,va_accuracy,va_mcc
59,5.6131124539014926e-05,,,0.1497,0.1497,0.1497,1.0,0.8719,0.0,0.1503,0.1503,0.1503,1.0,0.8769,0.0
60,5.477340364997051e-05,,,0.1497,0.1497,0.1497,1.0,0.8717,0.0,0.1503,0.1503,0.1503,1.0,0.8769,0.0
61,5.341212066823355e-05,,,0.1497,0.1497,0.1497,1.0,0.8718,0.0,0.1503,0.1503,0.1503,1.0,0.8769,0.0
62,5.2048291434180716e-05,,,0.1498,0.1498,0.1498,1.0,0.8718,0.0,0.1503,0.1503,0.1503,1.0,0.8769,0.0
63,5.068293368829756e-05,,,0.1498,0.1498,0.1498,1.0,0.8718,0.0,0.1503,0.1503,0.1503,1.0,0.8769,0.0
64,4.931706631170245e-05,,,0.1497,0.1497,0.1497,1.0,0.8719,0.0,0.1503,0.1503,0.1503,1.0,0.8769,0.0
65,4.7951708565819295e-05,,,0.1497,0.1497,0.1497,1.0,0.8719,0.0,0.1503,0.1503,0.1503,1.0,0.8769,0.0
66,4.658787933176646e-05,,,0.1497,0.1497,0.1497,1.0,0.8718,0.0,0.1503,0.1503,0.1503,1.0,0.8769,0.0
67,4.52265963500295e-05,,,0.1497,0.1497,0.1497,1.0,0.8716,0.0,0.1503,0.1503,0.1503,1.0,0.8769,0.0
68,4.3868875460985085e-05,,,0.1497,0.1497,0.1497,1.0,0.8718,0.0,0.1503,0.1503,0.1503,1.0,0.8769,0.0
69,4.251572984684278e-05,,,0.1498,0.1498,0.1498,1.0,0.8718,0.0,0.1503,0.1503,0.1503,1.0,0.8769,0.0
70,4.1168169275570635e-05,,,0.1497,0.1497,0.1497,1.0,0.8718,0.0,0.1503,0.1503,0.1503,1.0,0.8769,0.0
71,3.982719934736832e-05,,,0.1498,0.1498,0.1498,1.0,0.8718,0.0,0.1503,0.1503,0.1503,1.0,0.8769,0.0
72,3.8493820744250685e-05,,,0.1497,0.1497,0.1497,1.0,0.8718,0.0,0.1503,0.1503,0.1503,1.0,0.8769,0.0
73,3.716902848330132e-05,,,0.1497,0.1497,0.1497,1.0,0.872,0.0,0.1503,0.1503,0.1503,1.0,0.8769,0.0
74,3.585381117415349e-05,,,0.1497,0.1497,0.1497,1.0,0.8719,0.0,0.1503,0.1503,0.1503,1.0,0.8769,0.0
75,3.4549150281252636e-05,,,0.1497,0.1497,0.1497,1.0,0.8718,0.0,0.1503,0.1503,0.1503,1.0,0.8769,0.0
76,3.3256019391450707e-05,,,0.1497,0.1497,0.1497,1.0,0.8718,0.0,0.1503,0.1503,0.1503,1.0,0.8769,0.0
77,3.197538348747926e-05,,,0.1497,0.1497,0.1497,1.0,0.8718,0.0,0.1503,0.1503,0.1503,1.0,0.8769,0.0
78,3.070819822784323e-05,,,0.1497,0.1497,0.1497,1.0,0.8717,0.0,0.1503,0.1503,0.1503,1.0,0.8769,0.0
79,2.9455409233672603e-05,,,0.1497,0.1497,0.1497,1.0,0.872,0.0,0.1503,0.1503,0.1503,1.0,0.8769,0.0
80,2.8217951383064544e-05,,,0.1497,0.1497,0.1497,1.0,0.872,0.0,0.1503,0.1503,0.1503,1.0,0.8769,0.0
81,2.6996748113442394e-05,,,0.1497,0.1497,0.1497,1.0,0.872,0.0,0.1503,0.1503,0.1503,1.0,0.8769,0.0
